,0
2481,Don't Breathe (2016)
2482,Don't Look Now (1973)
2483,Don't Look Now: We're Being Shot At (La grande vadrouille) (1966)
2484,Don't Move (Non ti muovere) (2004)
2485,Don't Say a Word (2001)
2486,Don't Tell Mom the Babysitter's Dead (1991)
2487,Donnie Brasco (1997)
2488,Donnie Darko (2001)
2489,Doom (2005)
2490,"Doom Generation, The (1995)"
2491,Doomsday (2008)
2492,"Door in the Floor, The (2004)"
2493,"Doors, The (1991)"
2494,Dope (2015)
2495,Dorian Gray (2009)
2496,Double Dragon (1994)
2497,Double Happiness (1994)
2498,Double Impact (1991)
2499,Double Indemnity (1944)
2500,Double Jeopardy (1999)
2501,"Double Life of Veronique, The (Double Vie de Véronique, La) (1991)"
2502,"Double Life, A (1947)"
2503,Double Take (2001)
2504,Double Team (1997)
2505,Double Trouble (1992)
2506,"Double, The (2011)"
2507,"Double, The (2013)"
2508,Doubt (2008)
2509,Doug's 1st Movie (1999)
2510,Down Argentine Way (1940)
2511,Down Periscope (1996)
2512,Down Terrace (2009)
2513,Down and Out in Beverly Hills (1986)
2514,Down by Law (1986)
2515,Down in the Valley (2005)
2516,Down to Earth (2001)
2517,Down to You (2000)
2518,Down to the Bone (2004)
2519,Down with Love (2003)
2520,"Downfall (Untergang, Der) (2004)"
2521,Dr. Dolittle (1998)
2522,Dr. Dolittle 2 (2001)
2523,Dr. Giggles (1992)
2524,Dr. Goldfoot and the Bikini Machine (1965)
2525,Dr. Horrible's Sing-Along Blog (2008)
2526,Dr. Jekyll and Mr. Hyde (1931)
2527,Dr. Jekyll and Mr. Hyde (1941)
2528,Dr. No (1962)
2529,Dr. Phibes Rises Again (1972)
2530,Dr. Seuss' The Lorax (2012)
2531,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
2532,Dr. T and the Women (2000)
2533,Dr. Terror's House of Horrors (1965)
2534,Dracula (1931)
2535,Dracula (1979)
2536,Dracula (Bram Stoker's Dracula) (1992)
2537,Dracula 2000 (2000)
2538,Dracula Untold (2014)
2539,Dracula: Dead and Loving It (1995)
2540,Drag Me to Hell (2009)
2541,Dragnet (1987)
2542,Dragon Ball GT: A Hero's Legacy (Doragon bôru GT: Gokû gaiden! Yûki no akashi wa sû-shin-chû) (1997)
2543,Dragon Ball Z Gaiden: The Plot to Destroy the Saiyans (1993)
2544,Dragon Ball Z the Movie: The Tree of Might (Doragon bôru Z 3: Chikyû marugoto chô kessen) (1990)
2545,Dragon Ball Z the Movie: The World's Strongest (a.k.a. Dragon Ball Z: The Strongest Guy in The World) (Doragon bôru Z: Kono yo de ichiban tsuyoi yatsu) (1990)
2546,Dragon Ball Z: Bardock - The Father of Goku (Doragon bôru Z: Tatta hitori no saishuu kessen - Furiiza ni itonda Z senshi Kakarotto no chichi) (1990)
2547,Dragon Ball Z: Battle of Gods (2013)
2548,Dragon Ball Z: Bio-Broly (Doragon bôru Z 11: Sûpâ senshi gekiha! Katsu no wa ore da) (1994)
2549,Dragon Ball Z: Bojack Unbound (Doragon bôru Z 9: Ginga girigiri!! Butchigiri no sugoi yatsu) (1993)
2550,Dragon Ball Z: Broly - The Legendary Super Saiyan (Doragon bôru Z 8: Moetsukiro!! Nessen retsusen-chô gekisen) (1993)
2551,Dragon Ball Z: Broly Second Coming (Doragon bôru Z 10: Kiken na futari! Sûpâ senshi wa nemurenai) (1994)
2552,Dragon Ball Z: Cooler's Revenge (Doragon bôru Z 5: Tobikkiri no saikyô tai saikyô) (1991)
2553,Dragon Ball Z: Dead Zone (Doragon bôru Z 1: Ora no Gohan wo kaese) (1989)
2554,Dragon Ball Z: Resurrection of F (2015)
2555,Dragon Ball Z: Super Android 13! (Doragon bôru Z 7: Kyokugen batoru!! San dai sûpâ saiyajin) (1992)
2556,Dragon Ball Z: The History of Trunks (Doragon bôru Z: Zetsubô e no hankô!! Nokosareta chô senshi - Gohan to Torankusu) (1993)
2557,Dragon Ball Z: The Return of Cooler (Doragon bôru Z 6: Gekitotsu! Hyakuoku pawâ no senshi) (1992)
2558,Dragon Ball: Mystical Adventure (Doragon bôru: Makafushigi dai bôken) (1988)
2559,Dragon Ball: Sleeping Princess in Devil's Castle (Doragon bôru: Majinjô no nemuri hime) (1987)
2560,Dragon Ball: The Curse Of The Blood Rubies (Doragon bôru: Shenron no densetsu) (1986)
2561,Dragon Ball: The Path to Power (Doragon bôru: Saikyô e no michi) (1996)
2562,Dragon Blade (2015)
2563,Dragon Lord (a.k.a. Dragon Strike) (Long Xiao Ye) (1982)
2564,Dragon Seed (1944)
2565,Dragon ball Z 04: Lord Slug (1991)
2566,Dragon: The Bruce Lee Story (1993)
2567,Dragonfly (2002)
2568,Dragonheart (1996)
2569,Dragonheart 2: A New Beginning (2000)
2570,Dragonheart 3: The Sorcerer's Curse (2015)
2571,Dragons: Gift of the Night Fury (2011)
2572,Dragonslayer (1981)
2573,Drained (O cheiro do Ralo) (2006)
2574,"Draughtsman's Contract, The (1982)"
2575,"Dream Team, The (1989)"
2576,Dream a Little Dream (1989)
2577,Dream for an Insomniac (1996)
2578,"Dream of Light (a.k.a. Quince Tree Sun, The) (Sol del membrillo, El) (1992)"
2579,Dreamcatcher (2003)
2580,Dreamer: Inspired by a True Story (2005)
2581,"Dreamers, The (2003)"
2582,Dreamgirls (2006)
2583,"Dreamlife of Angels, The (Vie rêvée des anges, La) (1998)"
2584,Dreamscape (1984)
2585,Dredd (2012)
2586,Dressed to Kill (1980)
2587,"Dresser, The (1983)"
2588,Drift (2013)
2589,Drillbit Taylor (2008)
2590,Drinking Buddies (2013)
2591,Drive (2011)
2592,Drive Angry (2011)
2593,Drive Hard (2014)
2594,Drive Me Crazy (1999)
2595,Driven (2001)
2596,Driving Miss Daisy (1989)
2597,Drop Dead Fred (1991)
2598,Drop Dead Gorgeous (1999)
2599,Drop Zone (1994)
2600,Drowning Mona (2000)
2601,Drowning by Numbers (1988)
2602,Drugstore Cowboy (1989)
2603,Drumline (2002)
2604,Drunken Master (Jui kuen) (1978)
2605,Drunks (1995)
2606,"Duchess, The (2008)"
2607,Duck Amuck (1953)
2608,Duck Soup (1933)
2609,"Duck, You Sucker (1971)"
2610,"Dude, Where's My Car? (2000)"
2611,Dudley Do-Right (1999)
2612,Due Date (2010)
2613,Duel (1971)
2614,Duel in the Sun (1946)
2615,"Duellists, The (1977)"
2616,Duets (2000)
2617,"Dukes of Hazzard, The (2005)"
2618,Duma (2005)
2619,Dumb & Dumber (Dumb and Dumber) (1994)
2620,Dumb and Dumber To (2014)
2621,Dumb and Dumberer: When Harry Met Lloyd (2003)
2622,Dumbo (1941)
2623,Dummy (2002)
2624,Dune (1984)
2625,Dune (2000)
2626,Dungeons & Dragons (2000)
2627,Dunkirk (2017)
2628,Dunston Checks In (1996)
2629,Duplex (2003)
2630,Duplicity (2009)
2631,Dust (2001)
2632,Dutch (1991)
2633,Dying Young (1991)
2634,Dying of the Light (2014)
2635,Dylan Moran: Monster (2004)
2636,Déjà Vu (1997)
2637,Déjà Vu (Deja Vu) (2006)
2638,E.T. the Extra-Terrestrial (1982)
2639,EDtv (1999)
2640,Eagle Eye (2008)
2641,"Eagle Has Landed, The (1976)"
2642,"Eagle, The (2011)"
2643,"Ear, The (Ucho) (1970)"
2644,Earth (2007)
2645,Earth Girls Are Easy (1988)
2646,Earth vs. the Flying Saucers (1956)
2647,Earthlings (2006)
2648,Earthquake (1974)
2649,Earthsea (Legend of Earthsea) (2004)
2650,East is East (1999)
2651,East of Eden (1955)
2652,East-West (Est-ouest) (1999)
2653,Easter Parade (1948)
2654,Eastern Promises (2007)
2655,Easy A (2010)
2656,Easy Money (1983)
2657,Easy Rider (1969)
2658,Eat Drink Man Woman (Yin shi nan nu) (1994)
2659,Eat Pray Love (2010)
2660,Eaten Alive (1977)
2661,Echelon Conspiracy (2009)
2662,Ed (1996)
2663,Ed Wood (1994)
2664,Eddie (1996)
2665,Eddie Izzard: Dress to Kill (1999)
2666,Eddie Izzard: Glorious (1997)
2667,Eddie Murphy Delirious (1983)
2668,Eddie Murphy Raw (1987)
2669,Eddie and the Cruisers (1983)
2670,Eddie the Eagle (2016)
2671,Eden (2014)
2672,Eden Lake (2008)
2673,"Edge of Heaven, The (Auf der anderen Seite) (2007)"
2674,"Edge of Love, The (2008)"
2675,Edge of Tomorrow (2014)
2676,"Edge, The (1997)"
2677,Edmond (2005)
2678,Educating Rita (1983)
2679,"Education, An (2009)"
2680,"Edukators, The (Die Fetten Jahre sind vorbei) (2004)"
2681,Edward Scissorhands (1990)
2682,Eichmann (2007)
2683,Eight Below (2006)
2684,Eight Crazy Nights (Adam Sandler's Eight Crazy Nights) (2002)
2685,Eight Legged Freaks (2002)
2686,Eight Men Out (1988)
2687,"Eighth Day, The (Huitième jour, Le) (1996)"
2688,Einstein and Eddington (2008)
2689,El Cid (1961)
2690,Election (1999)
2691,Elections Day (2007)
2692,Electra Glide in Blue (1973)
2693,Electroma (2006)
2694,Elektra (2005)
2695,Elektra Luxx (2010)
2696,"Element of Crime, The (Forbrydelsens Element) (1984)"
2697,Elephant (2003)
2698,"Elephant Man, The (1980)"
2699,Elevator to the Gallows (a.k.a. Frantic) (Ascenseur pour l'échafaud) (1958)
2700,Elf (2003)
2701,Elite Squad (Tropa de Elite) (2007)
2702,Elite Squad: The Enemy Within (Tropa de Elite 2 - O Inimigo Agora É Outro) (2010)
2703,Elizabeth (1998)
2704,Elizabeth: The Golden Age (2007)
2705,Elizabethtown (2005)
2706,Ella Enchanted (2004)
2707,Elle (2016)
2708,Elling (2001)
2709,Elmer Gantry (1960)
2710,Elsa & Fred (2005)
2711,Elsa & Fred (2014)
2712,Elysium (2013)
2713,"Embalmer, The (Imbalsamatore, L') (2002)"
2714,Embassy (2013)
2715,Embrace of the Serpent (2016)
2716,"Emerald Forest, The (1985)"
2717,Emerald Green (2016)
2718,Emma (1996)
2719,Emma (2009)
2720,Emmanuelle (1974)
2721,"Emperor and the Assassin, The (Jing ke ci qin wang) (1999)"
2722,"Emperor's New Clothes, The (2001)"
2723,"Emperor's New Groove 2: Kronk's New Groove, The (2005)"
2724,"Emperor's New Groove, The (2000)"
2725,Empire (2002)
2726,Empire Records (1995)
2727,Empire of Dreams: The Story of the 'Star Wars' Trilogy (2004)
2728,Empire of the Sun (1987)
2729,Employee of the Month (2004)
2730,Employee of the Month (2006)
2731,Empties (2007)
2732,Enchanted (2007)
2733,Enchanted April (1992)
2734,Encino Man (1992)
2735,Encounters at the End of the World (2008)
2736,End of Days (1999)
2737,End of Watch (2012)
2738,"End of the Affair, The (1999)"
2739,Ender's Game (2013)
2740,Endgame (2009)
2741,Endless Poetry (2016)
2742,"Endless Summer, The (1966)"
2743,"Endurance: Shackleton's Legendary Antarctic Expedition, The (2000)"
2744,Enemy (2013)
2745,Enemy Mine (1985)
2746,Enemy at the Gates (2001)
2747,Enemy of the State (1998)
2748,"Enforcer, The (1976)"
2749,"English Patient, The (1996)"
2750,"English Teacher, The (2013)"
2751,English Vinglish (2012)
2752,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)"
2753,Enigma (2001)
2754,Enough (2002)
2755,Enough Said (2013)
2756,Enron: The Smartest Guys in the Room (2005)
2757,Enter the Dragon (1973)
2758,Enter the Void (2009)
2759,Entertaining Angels: The Dorothy Day Story (1996)
2760,Entourage (2015)
2761,Entrapment (1999)
2762,Envy (2004)
2763,Epic (2013)
2764,Epic Movie (2007)
2765,"Equalizer, The (2014)"
2766,Equilibrium (2002)
2767,Equus (1977)
2768,Er ist wieder da (2015)
2769,Eragon (2006)
2770,Eraser (1996)
2771,Eraserhead (1977)
2772,Erik the Viking (1989)
2773,Erin Brockovich (2000)
2774,Ernest & Célestine (Ernest et Célestine) (2012)
2775,Ernest Goes to Camp (1987)
2776,Ernest Goes to Jail (1990)
2777,Ernest Rides Again (1993)
2778,Ernest Saves Christmas (1988)
2779,Ernest Scared Stupid (1991)
2780,Eros (2004)
2781,Escaflowne: The Movie (Escaflowne) (2000)
2782,Escape From Tomorrow (2013)
2783,Escape Plan (2013)
2784,Escape from Alcatraz (1979)
2785,Escape from L.A. (1996)
2786,Escape from New York (1981)
2787,Escape from Planet Earth (2013)
2788,Escape from the Planet of the Apes (1971)
2789,Escape to Witch Mountain (1975)
2790,"Escort, The (Scorta, La) (1993)"
2791,Eternal Sunshine of the Spotless Mind (2004)
2792,Ethan Frome (1993)
2793,Ethel & Ernest (2016)
2794,Eulogy (2004)
2795,EuroTrip (2004)
2796,Europa (Zentropa) (1991)
2797,Europa Europa (Hitlerjunge Salomon) (1990)
2798,European Vacation (aka National Lampoon's European Vacation) (1985)
2799,Eva (2011)
2800,Evan Almighty (2007)
2801,Evangelion: 1.0 You Are (Not) Alone (Evangerion shin gekijôban: Jo) (2007)
2802,Evangelion: 2.0 You Can (Not) Advance (Evangerion shin gekijôban: Ha) (2009)
2803,Evangelion: 3.0 You Can (Not) Redo (2012)
2804,Eve of Destruction (1991)
2805,Eve's Bayou (1997)
2806,Evelyn (2002)
2807,Even Cowgirls Get the Blues (1993)
2808,Even the Rain (También la lluvia) (2010)
2809,"Evening with Kevin Smith 2: Evening Harder, An (2006)"
2810,Event Horizon (1997)
2811,Ever After: A Cinderella Story (1998)
2812,Everest (1998)
2813,Everest (2015)
2814,"Everlasting Piece, An (2000)"
2815,Every Secret Thing (2014)
2816,Every Which Way But Loose (1978)
2817,Everybody Wants Some (2016)
2818,Everybody's Famous! (Iedereen beroemd!) (2000)
2819,Everyone Says I Love You (1996)
2820,Everything Is Illuminated (2005)
2821,Everything Must Go (2010)
2822,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask (1972)
2823,Everything or Nothing: The Untold Story of 007 (2012)
2824,Evil Aliens (2005)
2825,Evil Dead (2013)
2826,Evil Dead II (Dead by Dawn) (1987)
2827,"Evil Dead, The (1981)"
2828,Evita (1996)
2829,Evolution (2001)
2830,"Ewok Adventure, The (a.k.a. Caravan of Courage: An Ewok Adventure) (1984)"
2831,Ewoks: The Battle for Endor (1985)
2832,Ex Drummer (2007)
2833,Ex Machina (2015)
2834,"Ex, The (2007)"
2835,Exam (2009)
2836,Excalibur (1981)
2837,Excess Baggage (1997)
2838,Executive Decision (1996)
2839,Executive Suite (1954)
2840,Exit Through the Gift Shop (2010)
2841,Exit Wounds (2001)
2842,Exit to Eden (1994)
2843,Exodus (1960)
2844,Exodus: Gods and Kings (2014)
2845,"Exorcism of Emily Rose, The (2005)"
2846,Exorcist II: The Heretic (1977)
2847,"Exorcist III, The (1990)"
2848,"Exorcist, The (1973)"
2849,Exorcist: The Beginning (2004)
2850,Exotica (1994)
2851,Expelled: No Intelligence Allowed (2008)
2852,"Expendables 2, The (2012)"
2853,"Expendables, The (2010)"
2854,Experimenter (2015)
2855,Explorers (1985)
2856,Exposed (2016)
2857,"Express, The (2008)"
2858,Exte: Hair Extensions (2007)
2859,"Exterminating Angel, The (Ángel exterminador, El) (1962)"
2860,Extract (2009)
2861,"Extraordinary Adventures of Adèle Blanc-Sec, The (2010)"
2862,Extraordinary Tales (2015)
2863,Extreme Days (2001)
2864,Extreme Measures (1996)
2865,Extreme Ops (2002)
2866,Extremely Loud and Incredibly Close (2011)
2867,Extremities (1986)
2868,Eye See You (D-Tox) (2002)
2869,Eye for an Eye (1996)
2870,"Eye for an Eye, An (1981)"
2871,Eye in the Sky (2016)
2872,Eye of the Beholder (1999)
2873,"Eye, The (Gin gwai) (Jian gui) (2002)"
2874,Eyes Wide Shut (1999)
2875,"Eyes Without a Face (Yeux sans visage, Les) (1959)"
2876,Eyes of Laura Mars (1978)
2877,"Eyes of Tammy Faye, The (2000)"
2878,"Eyewitness (Janitor, The) (1981)"
2879,"F*ck You, Goethe 2 (2015)"
2880,F/X (1986)
2881,F/X2 (a.k.a. F/X 2 - The Deadly Art of Illusion) (1991)
2882,FLCL (2000)
2883,"Fabulous Baker Boys, The (1989)"
2884,"Face in the Crowd, A (1957)"
2885,Face/Off (1997)
2886,Faces of Death (1978)
2887,Faces of Death 3 (1985)
2888,"Facing Windows (Finestra di fronte, La) (2003)"
2889,Factory Girl (2006)
2890,"Faculty, The (1998)"
2891,Fading Gigolo (2013)
2892,Fahrenheit 451 (1966)
2893,Fahrenheit 9/11 (2004)
2894,Fail-Safe (1964)
2895,Failure to Launch (2006)
2896,Fair Game (1995)
2897,FairyTale: A True Story (1997)
2898,Fall (1997)
2899,"Fall of the House of Usher, The (House of Usher) (1960)"
2900,"Fall, The (2006)"
2901,Fallen (1998)
2902,Fallen Angels (Duo luo tian shi) (1995)
2903,"Fallen Idol, The (1948)"
2904,Falling Angels (2003)
2905,Falling Down (1993)
2906,Fame (1980)
2907,Family Business (1989)
2908,Family Guy Presents Stewie Griffin: The Untold Story (2005)
2909,Family Guy Presents: Blue Harvest (2007)
2910,Family Guy Presents: It's a Trap (2010)
2911,"Family Guy Presents: Something, Something, Something, Dark Side (2009)"
2912,"Family Man, The (2000)"
2913,Family Plot (1976)
2914,"Family Stone, The (2005)"
2915,"Family Thing, A (1996)"
2916,"Family, The (2013)"
2917,"Fan, The (1996)"
2918,Fanboys (2009)
2919,Fandango (1985)
2920,Fanny and Alexander (Fanny och Alexander) (1982)
2921,Fans (1999)
2922,Fantasia (1940)
2923,Fantasia 2000 (1999)
2924,Fantastic Beasts and Where to Find Them (2016)
2925,"Fantastic Fear of Everything, A (2012)"
2926,Fantastic Four (2005)
2927,Fantastic Four (2015)
2928,Fantastic Four: Rise of the Silver Surfer (2007)
2929,Fantastic Mr. Fox (2009)
2930,"Fantastic Planet, The (Planète sauvage, La) (1973)"
2931,Fantastic Voyage (1966)
2932,"Fantasticks, The (1995)"
2933,Far From Home: The Adventures of Yellow Dog (1995)
2934,Far and Away (1992)
2935,Far from Heaven (2002)
2936,"Faraway, So Close (In weiter Ferne, so nah!) (1993)"
2937,Farewell My Concubine (Ba wang bie ji) (1993)
2938,"Farewell to Arms, A (1932)"
2939,Farewell to the King (1989)
2940,Fargo (1996)
2941,Farinelli: il castrato (1994)
2942,"Farmer's Daughter, The (1947)"
2943,Farscape: The Peacekeeper Wars (2004)
2944,"Fast & Furious (Fast and the Furious 4, The) (2009)"
2945,"Fast & Furious 6 (Fast and the Furious 6, The) (2013)"
2946,"Fast Five (Fast and the Furious 5, The) (2011)"
2947,Fast Food Nation (2006)
2948,"Fast Food, Fast Women (2000)"
2949,"Fast Runner, The (Atanarjuat) (2001)"
2950,Fast Times at Ridgemont High (1982)
2951,"Fast and the Furious, The (2001)"
2952,"Fast and the Furious: Tokyo Drift, The (Fast and the Furious 3, The) (2006)"
2953,"Fast, Cheap & Out of Control (1997)"
2954,Faster (2010)
2955,Faster Pussycat! Kill! Kill! (1965)
2956,Fat Albert (2004)
2957,Fat City (1972)
2958,Fat Girl (À ma soeur!) (2001)
2959,Fat Man and Little Boy (1989)
2960,Fatal Attraction (1987)
2961,Fatal Beauty (1987)
2962,Fatal Instinct (1993)
2963,Father Goose (1964)
2964,Father Hood (1993)
2965,Father of the Bride (1950)
2966,Father of the Bride (1991)
2967,Father of the Bride Part II (1995)
2968,Fathers' Day (1997)
2969,Faust (1926)
2970,Fay Grim (2006)
2971,Fear (1996)
2972,Fear City: A Family-Style Comedy (La cité de la peur) (1994)
2973,Fear X (2003)
2974,Fear and Loathing in Las Vegas (1998)
2975,Fear of a Black Hat (1994)
2976,FearDotCom (a.k.a. Fear.com) (a.k.a. Fear Dot Com) (2002)
2977,Fearless (1993)
2978,"Fearless Hyena, The (Xiao quan guai zhao) (1979)"
2979,"Fearless Vampire Killers, The (1967)"
2980,Feast (2005)
2981,Feast (2014)
2982,Federal Hill (1994)
2983,Feds (1988)
2984,Feeling Minnesota (1996)
2985,Felicia's Journey (1999)
2986,Fellini Satyricon (1969)
2987,Fellini's Casanova (Il Casanova di Federico Fellini) (1976)
2988,Felon (2008)
2989,Felony (2013)
2990,Female Perversions (1996)
2991,Female Trouble (1975)
2992,Femme Fatale (2002)
2993,"Femme Nikita, La (Nikita) (1990)"
2994,Fences (2016)
2995,Ferdinand (2017)
2996,Ferngully: The Last Rainforest (1992)
2997,Ferris Bueller's Day Off (1986)
2998,Fever Pitch (1997)
2999,Fever Pitch (2005)
3000,"Few Good Men, A (1992)"
3001,Ffolkes (1979)
3002,Fiddler on the Roof (1971)
3003,Fido (2006)
3004,"Field in England, A (2013)"
3005,Field of Dreams (1989)
3006,"Fiendish Plot of Dr. Fu Manchu, The (1980)"
3007,Fierce Creatures (1997)
3008,"Fifth Element, The (1997)"
3009,Fifty Shades Darker (2017)
3010,Fifty Shades of Grey (2015)
3011,Fight Club (1999)
3012,"Fighter, The (2010)"
3013,"Fighting Seabees, The (1944)"
3014,"Fighting Temptations, The (2003)"
3015,Films to Keep You Awake: The Christmas Tale (Películas para no dormir: Cuento de navidad) (2005)
3016,Filth (2013)
3017,"Filth and the Fury, The (2000)"
3018,Final Analysis (1992)
3019,"Final Conflict, The (a.k.a. Omen III: The Final Conflict) (1981)"
3020,"Final Countdown, The (1980)"
3021,"Final Cut, The (2004)"
3022,Final Destination (2000)
3023,Final Destination 2 (2003)
3024,Final Destination 3 (2006)
3025,Final Destination 5 (2011)
3026,"Final Destination, The (Final Destination 4) (Final Destination in 3-D, The) (2009)"
3027,Final Fantasy VII: Advent Children (2004)
3028,Final Fantasy: The Spirits Within (2001)
3029,Final Flight of the Osiris (2003)
3030,Find Me Guilty (2006)
3031,Finding Dory (2016)
3032,Finding Forrester (2000)
3033,Finding Nemo (2003)
3034,Finding Neverland (2004)
3035,Fire Down Below (1997)
3036,Fire and Ice (1983)
3037,Fire and Ice (2008)
3038,Fire in the Sky (1993)
3039,Fire with Fire (2012)
3040,Fired Up (2009)
3041,Firefox (1982)
3042,Fireproof (2008)
3043,Firestarter (1984)
3044,Firewalker (1986)
3045,Firewall (2006)
3046,Fireworks (Hana-bi) (1997)
3047,"Fireworks, Should We See It from the Side or the Bottom? (2017)"
3048,"Firm, The (1993)"
3049,"Firm, The (2009)"
3050,"First Beautiful Thing, The (La prima cosa bella) (2010)"
3051,First Blood (Rambo: First Blood) (1982)
3052,First Daughter (2004)
3053,First Kid (1996)
3054,First Knight (1995)
3055,First Monday in October (1981)
3056,First Position (2011)
3057,First Reformed (2017)
3058,First Snow (2006)
3059,First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo) (1996)
3060,First Sunday (2008)
3061,"First Time, The (2012)"
3062,"First Wives Club, The (1996)"
3063,"Fish Called Wanda, A (1988)"
3064,Fish Story (Fisshu sutôrî) (2009)
3065,"Fisher King, The (1991)"
3066,Fist Fight (2017)
3067,"Fist of Fury (Chinese Connection, The) (Jing wu men) (1972)"
3068,Fist of Legend (Jing wu ying xiong) (1994)
3069,"Fistful of Dollars, A (Per un pugno di dollari) (1964)"
3070,Fitzcarraldo (1982)
3071,Five Deadly Venoms (1978)
3072,Five Easy Pieces (1970)
3073,Five Element Ninjas (1982)
3074,"Five Senses, The (1999)"
3075,"Five-Year Engagement, The (2012)"
3076,Flags of Our Fathers (2006)
3077,"Flamingo Kid, The (1984)"
3078,Flash Gordon (1980)
3079,Flash Gordon Conquers the Universe (1940)
3080,Flashback (1990)
3081,Flashdance (1983)
3082,Flatfoot on the Nile (Piedone d'Egitto) (1980)
3083,Flatliners (1990)
3084,Flawless (1999)
3085,Fled (1996)
3086,Flesh & Blood (1985)
3087,Flesh and Bone (1993)
3088,Fletch (1985)
3089,Fletch Lives (1989)
3090,Flickering Lights (Blinkende lygter) (2000)
3091,Flight (2012)
3092,Flight of the Navigator (1986)
3093,Flight of the Phoenix (2004)
3094,"Flight of the Phoenix, The (1965)"
3095,Flightplan (2005)
3096,Flint (2017)
3097,"Flintstones in Viva Rock Vegas, The (2000)"
3098,"Flintstones, The (1994)"
3099,Flipped (2010)
3100,Flipper (1996)
3101,Flirting (1991)
3102,Flirting With Disaster (1996)
3103,Florence Foster Jenkins (2016)
3104,"Flower of My Secret, The (La flor de mi secreto) (1995)"
3105,Flowers for Algernon (2000)
3106,Flowers in the Attic (1987)
3107,"Flowers of War, The (Jin líng shí san chai) (2011)"
3108,Flubber (1997)
3109,Fluke (1995)
3110,Flushed Away (2006)
3111,Fly Away Home (1996)
3112,"Fly II, The (1989)"
3113,"Fly, The (1958)"
3114,"Fly, The (1986)"
3115,Flyboys (2006)
3116,Flying Down to Rio (1933)
3117,Flying Tigers (1942)
3118,Focus (2001)
3119,Focus (2015)
3120,"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)"
3121,"Fog, The (1980)"
3122,"Fog, The (2005)"
3123,"Follow Me, Boys! (1966)"
3124,Follow the Fleet (1936)
3125,Following (1998)
3126,"Food, Inc. (2008)"
3127,Fool's Gold (2008)
3128,Fools Rush In (1997)
3129,Footloose (1984)
3130,Footloose (2011)
3131,For Keeps (1988)
3132,For Love of the Game (1999)
3133,For Love or Money (1993)
3134,For Richer or Poorer (1997)
3135,For Roseanna (Roseanna's Grave) (1997)
3136,For Whom the Bell Tolls (1943)
3137,For Your Consideration (2006)
3138,For Your Eyes Only (1981)
3139,For a Few Dollars More (Per qualche dollaro in più) (1965)
3140,"For a Good Time, Call... (2012)"
3141,For the Bible Tells Me So (2007)
3142,For the Birds (2000)
3143,For the Boys (1991)
3144,For the Love of Benji (1977)
3145,Forbidden Games (Jeux interdits) (1952)
3146,"Forbidden Kingdom, The (2008)"
3147,Forbidden Planet (1956)
3148,Force 10 from Navarone (1978)
3149,Forces of Nature (1999)
3150,Foreign Correspondent (1940)
3151,Forever Young (1992)
3152,Forget Paris (1995)
3153,Forgetting Sarah Marshall (2008)
3154,Forgotten Silver (1996)
3155,"Forgotten, The (2004)"
3156,Formula 51 (2001)
3157,Formula of Love (1984)
3158,Forrest Gump (1994)
3159,Fort Tilden (2014)
3160,Fortress (1992)
3161,Foul Play (1978)
3162,"Fountain, The (2006)"
3163,"Fountainhead, The (1949)"
3164,Four Brothers (2005)
3165,Four Christmases (2008)
3166,"Four Days in September (O Que É Isso, Companheiro?) (1997)"
3167,"Four Feathers, The (2002)"
3168,Four Lions (2010)
3169,"Four Musketeers, The (1974)"
3170,Four Rooms (1995)
3171,"Four Seasons, The (1981)"
3172,Four Weddings and a Funeral (1994)
3173,"Fourth Protocol, The (1987)"
3174,"Fox and the Hound, The (1981)"
3175,Foxfire (1996)
3176,Foxy Brown (1974)
3177,Fracchia contro Dracula (1985)
3178,Fracture (2007)
3179,Frailty (2001)
3180,Fraktus (2012)
3181,Frances (1982)
3182,Frances Ha (2012)
3183,Frank (2014)
3184,Frankenstein (1931)
3185,Frankenstein (2015)
3186,Frankenstein 90 (1984)
3187,Frankenstein Meets the Wolf Man (1943)
3188,Frankenstein Must Be Destroyed (1969)
3189,Frankenstein Unbound (1990)
3190,Frankenweenie (2012)
3191,Frankie and Johnny (1966)
3192,Frankie and Johnny (1991)
3193,Frantic (1988)
3194,Fraternity Vacation (1985)
3195,Freaked (1993)
3196,Freaks (1932)
3197,Freaks of Nature (2015)
3198,Freaky Friday (1977)
3199,Freaky Friday (2003)
3200,Fred Armisen: Standup for Drummers (2018)
3201,Freddy Got Fingered (2001)
3202,Freddy vs. Jason (2003)
3203,"Freddy's Dead: The Final Nightmare (Nightmare on Elm Street Part 6: Freddy's Dead, A) (1991)"
3204,Free Enterprise (1998)
3205,Free Fire (2017)
3206,Free Willy (1993)
3207,Free Willy 2: The Adventure Home (1995)
3208,Free to Play (2014)
3209,Freedom Writers (2007)
3210,Freedomland (2006)
3211,Freejack (1992)
3212,Freeway (1996)
3213,Freezer (2014)
3214,French Connection II (1975)
3215,"French Connection, The (1971)"
3216,French Kiss (1995)
3217,"French Lieutenant's Woman, The (1981)"
